id,person,year,title,kind,evidenceStatus,sourceUrl,note,publicationDecision,decisionReason,decisionOn,timCoauthor,awardId
candidate-087,Yasaman Sefidgar,2016,UW CSE Affiliates People’s Choice — Situated Tangible Robot Programming,demo,institution-confirmed,https://hcrlab.cs.washington.edu/news/2016/10/people%27s-choice-award-at-cse-affiliates/,Distinct from HRI finalist recognition.,excluded,All demo awards excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-088,Yige Yuan,2025,Chinese Academy of Sciences President Award,student,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2025-yigeyuan-chinese-academy-of-sciences-president-award
candidate-089,Yige Yuan,2025,AgentSociety Challenge at WWW — First Place,competition,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,deferred,Challenge track and team attribution need confirmation.,2026-09-09,,
candidate-090,Yige Yuan,2024,China National Scholarship (PhD),scholarship,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-yigeyuan-china-national-scholarship-phd
candidate-091,Yige Yuan,2024,UCAS First-Class Scholarship,scholarship,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-yigeyuan-ucas-first-class-scholarship
candidate-092,Yige Yuan,2023,ICT President Award,student,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2023-yigeyuan-ict-president-award
candidate-093,Yige Yuan,2022,UCAS First-Class Scholarship,scholarship,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2022-yigeyuan-ucas-first-class-scholarship
candidate-094,Yige Yuan,2022,UCAS Outstanding Student Award,student,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2022-yigeyuan-ucas-outstanding-student-award
candidate-095,Yige Yuan,2019,National College Students Information Security Contest — First Prize,competition,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2019-yigeyuan-national-college-students-information-security-contest-first-prize
candidate-096,Yige Yuan,2017,Challenge Cup — First Prize,competition,personal-source,https://yuanyige.github.io/,Before UW lab affiliation. Challenge track and team roster not independently confirmed.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2017-yigeyuan-challenge-cup-first-prize
candidate-097,Chris Rytting,,BYU College of Physical and Mathematical Sciences Three Minute Thesis — Runner-up,student,personal-source-year-unresolved,https://chrisrytting.github.io/assets/cv.pdf,CV verifies recognition but provides no award year.,deferred,Award year is unresolved; no date invented.,2026-09-09,,
candidate-098,Chris Rytting,,Wheatley Student Scholar,student,personal-source-year-unresolved,https://chrisrytting.github.io/assets/cv.pdf,CV verifies recognition but provides no award year.,deferred,Award year is unresolved; no date invented.,2026-09-09,,
candidate-099,Ge Zhang,2025,VL/HCC Honorable Mention — SPARK: Real-Time Monitoring of Multi-Faceted Programming Exercises,paper,personal-source,https://gezhang.me/,Current personal website; post-UW work. Confirm organizer page before adding.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-100,Ge Zhang,2024,Learning at Scale Best Paper — CFlow,paper,research-group-confirmed,https://from.so/papers/cflow_supporting_semantic_flow_analysis_of_students_code_in_programming_problems_at_scale_2024/,Ashley Ge Zhang is the roster’s Ge Zhang. Post-UW work. Full title: CFlow: Supporting Semantic Flow Analysis of Students’ Code in Programming Problems at Scale.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-101,Ge Zhang,2023,CHI Best Paper Honorable Mention — VizProg: Identifying Misunderstandings by Visualizing Students’ Coding Progress,paper,institution-confirmed,https://www.si.umich.edu/about-umsi/news/umsi-chi-2023-research-workshops-courses,Post-UW work; personal CV and research group also corroborate.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-102,Ge Zhang,2023,CHI Best Paper Honorable Mention — Colaroid: A Literate Programming Approach for Authoring Explorable Multi-Stage Tutorials,paper,institution-confirmed,https://www.si.umich.edu/about-umsi/news/umsi-chi-2023-research-workshops-courses,Post-UW work; personal CV and research group also corroborate.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-103,Ge Zhang,2019,Google Girls Hackathon People’s Choice,competition,personal-source,https://gezhangrp.com/assets/misc/cv.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2019-gezhang-google-girls-hackathon-people-s-choice
candidate-104,Ge Zhang,2017,Peking University ACM Competition — Second Prize,competition,personal-source,https://gezhangrp.com/assets/misc/cv.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2017-gezhang-peking-university-acm-competition-second-prize
candidate-105,Ge Zhang,2022–2023,Rackham Conference Travel Grant,travel,personal-source,https://gezhangrp.com/assets/misc/cv.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2022-gezhang-rackham-conference-travel-grant
candidate-106,Ge Zhang,2021–2023,UMSI Conference Travel Grant,travel,personal-source,https://gezhangrp.com/assets/misc/cv.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2021-gezhang-umsi-conference-travel-grant
candidate-107,Tim Althoff,2023–2024,"Most Highly Rated Instructors, Allen School",teaching,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Preserve academic-year range as stated in CV.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2023-timalthoff-most-highly-rated-instructors-allen-school
candidate-108,Tim Althoff,2022–2023,"Most Highly Rated Instructors, Allen School",teaching,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Preserve academic-year range as stated in CV.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2022-timalthoff-most-highly-rated-instructors-allen-school
candidate-109,Tim Althoff,2020–2021,"Most Highly Rated Instructors, Allen School",teaching,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Preserve academic-year range as stated in CV.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2020-timalthoff-most-highly-rated-instructors-allen-school
